# Projective Space PG(3, 4)
# Generated: 2026-01-23T00:10:09.423246
# Seed: 877903898
# k: 4, q: 4
# Expected Points: 85
# Total Points: 85
ID	Vector	Incidence_BitString
34	(1, 0, 3, 1)	0000110000001010000100100001010000001010000101000000101000010100000010100001010000001
35	(1, 0, 3, 2)	0001010000010000101000001010010000010000101001000001000010100100000100001010010000010
36	(1, 0, 3, 3)	0010010000100001000010010000110000100001000011000010000100001100001000010000110000100
37	(1, 1, 0, 0)	1111100000000000000000000000000000000111111111111111100000000000000000000000000000000
38	(1, 1, 0, 1)	0100001000100010001000100010001000100100010001000100000010001000100010010001000100010
39	(1, 1, 0, 2)	0100000010001000100010001000100010001100010001000100000100010001000100100010001000100
40	(1, 1, 0, 3)	0100000100010001000100010001000100010100010001000100001000100010001000001000100010001
41	(1, 1, 1, 0)	1000000001111000000000000111100000000111100000000000000000000000011110000000011110000
42	(1, 1, 1, 1)	0010001001000000100100100100000010010100001000010000100010010010010000010000110000100
43	(1, 1, 1, 2)	0000100011000001001000001100000100100100000010100001000100100000110000100001010000001
44	(1, 1, 1, 3)	0001000101000010000010010100001000001100000100001010001000001001010000001010010000010
45	(1, 1, 2, 0)	1000000000000000011110000000000001111111100000000000000000000111100000000111100000000
46	(1, 1, 2, 1)	0001001000001001010000100000100101000100000100001010000010100100000100010100001000001
47	(1, 1, 2, 2)	0010000010010010010000001001001001000100001000010000100100001100001000100100000010010
48	(1, 1, 2, 3)	0000100100100000110000010010000011000100000010100001001000010100000010001100000100100
49	(1, 1, 3, 0)	1000000000000111100000000000011110000111100000000000000001111000000000000000000001111
50	(1, 1, 3, 1)	0000101000010100000010100001010000001100000010100001000011000001001000010010000011000
51	(1, 1, 3, 2)	0001000010100100000100001010010000010100000100001010000101000010000010100000100101000
52	(1, 1, 3, 3)	0010000100001100001000010000110000100100001000010000101001000000100100001001001001000
53	(1, 2, 0, 0)	1111100000000000000000000000000000000000000000000000000000000000000001111111111111111
54	(1, 2, 0, 1)	0100000100010001000100100010001000100000100010001000100100010001000101000100010001000
55	(1, 2, 0, 2)	0100001000100010001000001000100010001001000100010001001000100010001001000100010001000
56	(1, 2, 0, 3)	0100000010001000100010010001000100010010001000100010000010001000100011000100010001000
57	(1, 2, 1, 0)	1000000000000111100000000111100000000000000000000111100000000111100001111000000000000
58	(1, 2, 1, 1)	0010000100001100001000100100000010010000100100100100000100001100001001000010000100001
59	(1, 2, 1, 2)	0000101000010100000010001100000100100001001000001100001000010100000011000000101000010
60	(1, 2, 1, 3)	0001000010100100000100010100001000001010000010010100000010100100000101000001000010100
61	(1, 2, 2, 0)	1000000001111000000000000000000001111000000001111000000001111000000001111000000000000
62	(1, 2, 2, 1)	0001000101000010000010100000100101000000101001000001000101000010000011000001000010100
63	(1, 2, 2, 2)	0010001001000000100100001001001001000001000011000010001001000000100101000010000100001
64	(1, 2, 2, 3)	0000100011000001001000010010000011000010000101000000100011000001001001000000101000010
65	(1, 2, 3, 0)	1000000000000000011110000000011110000000011110000000000000000000011111111000000000000
66	(1, 2, 3, 1)	0000100100100000110000100001010000001000110000010010000100100000110001000000101000010
67	(1, 2, 3, 2)	0001001000001001010000001010010000010001010000100000101000001001010001000001000010100
68	(1, 2, 3, 3)	0010000010010010010000010000110000100010010000001001000010010010010001000010000100001
69	(1, 3, 0, 0)	1111100000000000000000000000000000000000000000000000011111111111111110000000000000000
70	(1, 3, 0, 1)	0100000010001000100010100010001000100001000100010001010001000100010000001000100010001
71	(1, 3, 0, 2)	0100000100010001000100001000100010001010001000100010010001000100010000010001000100010
72	(1, 3, 0, 3)	0100001000100010001000010001000100010000100010001000110001000100010000100010001000100
73	(1, 3, 1, 0)	1000000000000000011110000111100000000000000001111000011110000000000000000000000001111
74	(1, 3, 1, 1)	0010000010010010010000100100000010010001000011000010010000100001000010001001001001000
75	(1, 3, 1, 2)	0000100100100000110000001100000100100010000101000000110000001010000100010010000011000
76	(1, 3, 1, 3)	0001001000001001010000010100001000001000101001000001010000010000101000100000100101000
77	(1, 3, 2, 0)	1000000000000111100000000000000001111000011110000000011110000000000000000000011110000
78	(1, 3, 2, 1)	0001000010100100000100100000100101000001010000100000110000010000101000001010010000010
79	(1, 3, 2, 2)	0010000100001100001000001001001001000010010000001001010000100001000010010000110000100
80	(1, 3, 2, 3)	0000101000010100000010010010000011000000110000010010010000001010000100100001010000001
81	(1, 3, 3, 0)	1000000001111000000000000000011110000000000000000111111110000000000000000111100000000
82	(1, 3, 3, 1)	0000100011000001001000100001010000001001001000001100010000001010000100001100000100100
83	(1, 3, 3, 2)	0001000101000010000010001010010000010010000010010100010000010000101000010100001000001
84	(1, 3, 3, 3)	0010001001000000100100010000110000100000100100100100010000100001000010100100000010010
